Страна,ВВП
США,16237746
Китай,13623255
Индия,5031678
Япония,4778523
Германия,3269562
Россия,2640737
Бразилия,2466567
Великобритания,2391042
Франция,2289622
Мексика,1848416
Италия,1835657
Южная Корея,1687138
Канада,1534937
Испания,1411493
Индонезия,1314660
Турция,1181012
Австралия,1015943
Иран,1002900
Саудовская Аравия,962132
Тайвань,945479
Польша,824783
Аргентина,776284
Нидерланды,714741
Таиланд,701554
ЮАР,608804
Египет,559843
Пакистан,542216
Малайзия,532515
Колумбия,532063
Нигерия,488115
Филиппины,457314
Бельгия,427883
Венесуэла,408805
Швеция,403433
Гонконг,386558
Швейцария,374111
Австрия,367751
Перу,352875
Вьетнам,343024
Чили,341914
Украина,340684
Сингапур,338551
Бангладеш,329712
Чехия,299372
Норвегия,288619
Греция,288375
Алжир,286583
Объединенные Арабские Эмираты,284428
Румыния,282348
Ирак,264471
Израиль,257817
Казахстан,248557
Португалия,248521
Дания,219563
Финляндия,210507
Катар,207419
Венгрия,204781
Ирландия,190890
Марокко,180837
Беларусь,155149
Словацкой Республики,139292
Ангола,139224
Эквадор,136523
Новая Зеландия,134472
Шри Ланка,132915
Сирия,115115
Тунис,113267
Болгария,110401
Узбекистан,109121
Эфиопия,107966
Доминиканская Республика,106240
Азербайджан,103941
Южный Судан и Судан,101618
Мьянма,93890
Оман,88593
Гана,86683
Сербии,86528
Хорватия,85916
Кения,82357
Гватемала,80240
Танзания,73438
Ливан,67588
Литва,66923
Йемен,65539
Босния и Герцеговина,64643
Словения,62649
Коста-Рика,60260
Уругвай,57436
Боливия,57174
Панама,56732
Уганда,53750
Камерун,52611
Туркменистан,48478
Сальвадор,48152
Люксембург,46846
Берег Слоновой Кости,41678
Непал,41406
Парагвай,40437
Иордания,39927
Гондурас,39027
Камбоджа,38220
Латвия,37710
Афганистан,35205
Ботсвана,34605
Бахрейн,34109
Эстония,29693
Экваториальная Гвинея,29545
"Конго, Демократическая Республика",29371
Тринидад и Тобаго,28793
Сенегал,28362
Мозамбик,28211
Албания,27460
Грузия,27278
Ямайка,26114
Габон,25975
Замбия,25513
Буркина-Фасо,24941
Кипр,24893
Македония,23465
Мадагаскар,23031
Бруней-Даруссалам,22392
Чад,22100
Маврикий,21354
"Конго, Республика",21224
Мали,20748
Лаос,20583
Никарагуа,20499
Армения,19872
Папуа-Новая Гвинея,18256
Таджикистан,18125
Намибия,17197
Кувейт,17127
Монголия,17111
Бенин,16437
Руанда,15643
Малави,15191
Киргизия,14978
Нигер,14560
Гаити,14536
Косово,14443
Молдова,13376
Исландия,13349
Гвинея,12754
Мальта,11583
"Багамские острова,",11548
Сьерра-Леоне,8622
Мавритания,8225
Черногория,7670
Того,7088
Барбадос,7000
Гайана,6640
Зимбабве,6407
Свазиленд,6326
Суринам,5709
Бутан,5104
Эритрее,4496
Фиджи,4364
"Гамбия,",4291
Центрально-Африканская Республика,4139
Лесото,4138
Тимор-Лешти,4067
Бурунди,4059
Мальдивы,3032
Белиз,3004
Джибути,2533
Сейшельские острова,2448
Кабо-Верде,2375
Сент-Люсия,2308
Либерия,2232
Гвинея-Бисау,2137
Соломоновы острова,2032
Антигуа и Барбуда,1927
Гренада,1455
Сент-Винсент и Гренадины,1333
Вануату,1333
Самоа,1170
Доминика,1030
Сент-Китс и Невис,982
Коморские острова,919
Тонга,823
Кирибати,707
Сан-Томе и Принсипи,382
Тувалу,39
