Страна,Население
Китай,1349585838
Индия,1220800359
США,316668567
Индонезия,251160124
Бразилия,201009622
Пакистан,193238868
Нигерия,174507539
Бангладеш,163654860
Россия,142500482
Япония,127253075
Мексика,116220947
Филиппины,105720644
Эфиопия,93877025
Вьетнам,92477857
Египет,85294388
Германия,81147265
Турция,80694485
Иран,79853900
Конго,75507308
Таиланд,67448120
Франция,65951611
Великобритания,63395574
Италия,61482297
Бирма,55167330
Южная Корея,48955203
ЮАР,48601098
Танзания,48261942
Испания,47370542
Колумбия,45745783
Украина,44573205
Кения,44037656
Аргентина,42610981
Польша,38383809
Алжир,38087812
Судан,34847910
Уганда,34758809
Канада,34568211
Марокко,32649130
Ирак,31858481
Афганистан,31108077
Непал,30430267
Перу,29849303
Малайзия,29628392
Узбекистан,28661637
Венесуэла,28459085
Саудовская Аравия,26939583
Йемен,25408288
Гана,25199609
Северная Корея,24720407
Мозамбик,24096669
Тайвань,23299716
Мадагаскар,22599098
Сирия,22457336
Берег Слоновой Кости,22400835
Австралия,22262501
Румыния,21790479
Шри Ланка,21675648
Камерун,20549221
Ангола,18565269
Буркина-Фасо,17812961
Казахстан,17736896
Чили,17216945
Нигер,16899327
Нидерланды,16805037
Малави,16777547
Мали,15968882
Эквадор,15439429
Камбоджа,15205539
Гватемала,14373472
Замбия,14222233
Сенегал,13300410
Зимбабве,13182908
Руанда,12012589
Чад,11193452
Гвинея,11176026
Южный Судан,11090104
Куба,11061886
Бурунди,10888321
Тунис,10835873
Португалия,10799270
Греция,10772967
Боливия,10461053
Бельгия,10444268
Сомали,10251568
Доминиканская Республика,10219630
Чехия,10162921
Венгрия,9939470
Гаити,9893934
Бенин,9877292
Беларусь,9625888
Азербайджан,9590159
Швеция,9119423
Гондурас,8448465
Австрия,8221646
Швейцария,7996026
Таджикистан,7910041
Израиль,7707042
Сербия,7243007
Гонконг,7182724
Того,7154237
Болгария,6981642
Лаос,6695166
Парагвай,6623252
Иордания,6482081
Папуа-Новая Гвинея,6431902
Эритрея,6233682
Сальвадор,6108590
Ливия,6002347
Никарагуа,5788531
Сьерра-Леоне,5612685
Дания,5556452
Киргизия,5548042
Словакия,5488339
Объединенные Арабские Эмираты,5473972
Сингапур,5460302
Финляндия,5266114
Центрально-Африканская Республика,5166510
Туркменистан,5113040
Ирландия,4775982
Норвегия,4722701
Коста-Рика,4695942
Грузия,4555911
"Конго, Республика",4492689
Хорватия,4475611
Новая Зеландия,4365113
Ливан,4131583
Либерия,3989703
Босния и Герцеговина,3875723
Пуэрто-Рико,3674209
Молдова,3619925
Панама,3559408
Литва,3515858
Мавритания,3437610
Уругвай,3324460
Монголия,3226516
Оман,3154134
Албания,3011405
Армения,2974184
Ямайка,2909714
Кувейт,2695316
Западный берег реки Иордан,2676740
Намибия,2182852
Латвия,2178443
Ботсвана,2127825
Македония,2087171
Катар,2042444
Словения,1992690
Лесото,1936181
"Гамбия,",1883051
Косово,1847708
Сектор Газа,1763387
Гвинея-Бисау,1660870
Габон,1640286
Свазиленд,1403362
Маврикий,1322238
Бахрейн,1281332
Эстония,1266375
Тринидад и Тобаго,1225225
Тимор-Лешти,1172390
Кипр,1155403
Фиджи,896758
Джибути,792198
Коморские острова,752288
Гайана,739903
Бутан,725296
Экваториальная Гвинея,704001
Черногория,653474
Соломоновы острова,597248
Макао,583003
Суринам,566846
Западная Сахара,538811
Кабо-Верде,531046
Люксембург,514862
Бруней,415717
Мальта,411277
Мальдивы,393988
Белиз,334297
"Багамские острова,",319031
Исландия,315281
Барбадос,288725
Французская Полинезия,277293
Новая Каледония,264022
Вануату,261565
Самоа,195476
Сан-Томе и Принсипи,186817
Сент-Люсия,162781
Гуам,160378
Ликер кюрасо,146836
Гренада,109590
Аруба,109153
Тонга,106322
"Микронезия, Федеративные Штаты",106104
Виргинские острова,104737
Кирибати,103248
Сент-Винсент и Гренадины,103220
Джерси,95732
Сейшельские острова,90846
Антигуа и Барбуда,90156
Остров Мэн,86159
Андорра,85293
Доминика,73286
Маршалловы острова,69747
Бермудские острова,69467
Гернси,65605
Гренландия,57714
Американское Самоа,54719
Каймановы острова,53737
Северные Марианские острова,51170
Сент-Китс и Невис,51134
Фарерские острова,49709
Острова Теркс и Кайкос,47754
Синт-Маартен,39689
Лихтенштейн,37009
Сан - Марино,32448
Британские Виргинские острова,31912
Сен-Мартен,31264
Монако,30500
Гибралтар,29111
Палау,21108
Ангилья,15754
Декелии,15700
Акротири,15700
Уоллис и Футуна,15507
Тувалу,10698
Острова Кука,10447
Науру,9434
"Остров Святой Елены, Вознесения и Тристан-да-Кунья",7754
Санкт-Бартелеми,7298
Сен-Пьер и Микелон,5774
Монтсеррат,5189
Фолклендские (Мальвинские) острова,3140
Остров Норфолк,2182
Шпицберген,1970
Остров Рождества,1496
Токелау,1368
Ниуэ,1269
Святой Престол (Ватикан),836
Кокосовые (Килинг) острова,596
Острова Питкэрн,48
