Страна,Производительность труда
Норвегия,75.08 
Люксембург,73.22 
США,67.32 
Бельгия,60.98 
Нидерланды,60.06 
Франция,59.24 
Германия,57.36 
Ирландия,56.05 
Австралия,55.87 
Дания,55.75 
Швеция,55.28 
Австрия,54.83 
Великобритания,51.38 
Канада,50.29 
Исландия,50.01 
Швейцария,49.88 
Испания,49.59 
Финляндия,48.79 
Италия,45.04 
Япония,43.77 
Сингапур,41.46 
Гонконг,41.30 
Тайвань,39.97 
Словения,39.78 
Израиль,38.99 
Новая Зеландия,36.83 
Мальта,36.02 
Словакия,33.44 
Греция,32.77 
Южная Корея,32.31 
Чехия,31.23 
Кипр,31.18 
Литва,27.53 
Португалия,27.23 
Польша,25.81 
Венгрия,24.37 
Эстония,23.50 
Турция,22.83 
Латвия,21.15 
Россия,19.70 
Чиили,19.55 
Уругвай,18.16 
Коста-Рика,17.81 
Болгария,16.48 
Малазия,16.47 
Мексика,16.23 
Румыния,15.46 
Венесуэла,15.05 
Аргентина,13.84 
Эквадор,13.81 
Ямайка,12.95 
Колумбия,11.26 
Перу,10.99 
Бразилия,10.78 
Армений,10.00 
Таиланд,8.54 
Шри-Ланка,6.85 
Индия,3.40 
Бангладеш,1.98 
