Дата;Продажи руб.
01.01.2011;20385593
01.02.2011;26716093
01.03.2011;28943801
01.04.2011;27916278
01.05.2011;27688189
01.06.2011;29599761
01.07.2011;31656901
01.08.2011;29371412
01.09.2011;28225881
01.10.2011;25342935
01.11.2011;27003205
01.12.2011;25208510
01.01.2012;23971034
01.02.2012;26940744
01.03.2012;33557371
01.04.2012;32401555
01.05.2012;33674841
01.06.2012;35351899
01.07.2012;32087827
01.08.2012;31097897
01.09.2012;29656361
01.10.2012;29372902
01.11.2012;26258364
01.12.2012;31403497
01.01.2013;28764412
01.02.2013;31534579
01.03.2013;32321644
01.04.2013;38502670
01.05.2013;35788558
01.06.2013;33240292
01.07.2013;38889176
01.08.2013;35547608
01.09.2013;32920490
01.10.2013;30877928
01.11.2013;27601772
01.12.2013;28841728
01.01.2014;27490314
01.02.2014;25378659
01.03.2014;31624499
01.04.2014;27316832
01.05.2014;28266129
01.06.2014;28789840
01.07.2014;25860822
01.08.2014;26696267
01.09.2014;24050272
01.10.2014;23965423
01.11.2014;21744684
01.12.2014;23243022
